Age group,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
21 and under,3,2512,7,251,495,333,3601
22,58,1506,3,219,494,271,2551
23,67,1026,3,137,437,270,1940
24,47,712,10,83,328,212,1392
25 to 29,131,1647,14,226,1077,835,3930
30 to 34,49,816,5,92,896,707,2565
35 to 39,44,624,10,51,741,625,2095
40 to 44,27,473,4,47,486,436,1473
45 to 49,17,285,4,28,274,260,868
50 to 54,11,149,1,22,161,150,494
55 to 59,3,58,0,4,66,77,208
60 to 64,1,14,0,3,31,25,74
65 and over,0,5,0,1,4,7,17
