Age group,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
21 and under,5,2952,10,204,419,437,4027
22,70,1884,7,186,401,413,2961
23,89,1277,4,131,423,381,2305
24,75,885,15,95,291,295,1656
25 to 29,179,2066,20,235,1057,1203,4760
30 to 34,60,1039,13,103,849,1066,3130
35 to 39,55,773,16,70,666,942,2522
40 to 44,35,595,6,57,458,630,1781
45 to 49,22,378,6,24,277,346,1053
50 to 54,14,201,3,14,154,214,600
55 to 59,5,76,0,7,63,105,256
60 to 64,1,21,0,2,28,39,91
65 and over,0,6,0,0,7,8,21
