Age group,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
21 and under,0,803,1,371,670,76,1921
22,12,392,1,202,459,49,1115
23,19,272,0,124,390,46,851
24,12,185,4,94,281,39,615
25 to 29,25,439,3,195,901,125,1688
30 to 34,12,230,1,75,603,128,1049
35 to 39,9,172,2,52,549,114,898
40 to 44,0,130,2,43,403,68,646
45 to 49,4,77,0,26,251,45,403
50 to 54,3,45,1,7,141,26,223
55 to 59,1,17,0,7,60,16,101
60 to 64,1,4,0,2,25,5,37
65 and over,0,1,0,1,8,0,10
