Age group,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
21 and under,4,3498,21,130,378,643,4674
22,141,2371,16,158,422,586,3694
23,156,1680,12,132,408,549,2937
24,128,1165,23,87,333,430,2166
25 to 29,323,2772,46,258,1222,1713,6334
30 to 34,120,1365,34,120,1004,1522,4165
35 to 39,91,1029,37,73,824,1282,3336
40 to 44,61,805,25,55,585,885,2416
45 to 49,38,522,11,36,359,495,1461
50 to 54,31,269,6,21,192,293,812
55 to 59,8,109,0,11,84,132,344
60 to 64,1,31,0,4,27,53,116
65 and over,0,9,0,0,5,12,26
