Age group,Recruited,Conditions pending,Deferrals,Received an offer,Awaiting provider decisions,Unsuccessful,Total
21 and under,2,1564,1,319,440,174,2500
22,20,826,1,212,352,142,1553
23,29,562,0,153,301,127,1172
24,26,409,5,88,204,94,826
25 to 29,48,923,5,230,682,406,2294
30 to 34,29,445,2,80,532,343,1431
35 to 39,20,366,2,82,433,319,1222
40 to 44,7,284,3,60,288,217,859
45 to 49,7,178,1,30,203,133,552
50 to 54,5,77,1,20,118,74,295
55 to 59,2,35,0,3,49,45,134
60 to 64,1,7,0,2,17,17,44
65 and over,0,4,0,1,8,2,15
